epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.633,3.06196,4.92311,4.06166,0.3424,0.04784,0.00759,0.0019,2.62024,3.98154,3.52065,0.000207597,0.000207597,0.000207597
2,218.719,2.34244,3.7766,2.71489,0.25131,0.25226,0.08933,0.04943,1.57057,2.71406,2.00732,0.000407695,0.000407695,0.000407695
3,323.364,1.64555,2.89605,1.9437,0.38895,0.26632,0.15833,0.10417,1.2711,2.26926,1.68339,0.000599543,0.000599543,0.000599543
4,425.392,1.4269,2.5342,1.71873,0.27493,0.36441,0.26039,0.18774,1.04831,1.95793,1.4769,0.000587875,0.000587875,0.000587875
5,532.181,1.30857,2.29508,1.62153,0.40179,0.41663,0.30797,0.2255,0.97219,1.82223,1.40197,0.0005755,0.0005755,0.0005755
6,636.213,1.21731,2.14186,1.54326,0.53796,0.33179,0.34427,0.25091,0.89037,1.87477,1.32235,0.000563125,0.000563125,0.000563125
7,749.758,1.1594,1.9604,1.49093,0.51863,0.45702,0.46089,0.35045,0.8663,1.56004,1.29517,0.00055075,0.00055075,0.00055075
8,877.815,1.11967,1.87367,1.45713,0.56822,0.48015,0.48386,0.37783,0.79716,1.48381,1.23602,0.000538375,0.000538375,0.000538375
9,1013.78,1.08027,1.76947,1.41657,0.48095,0.49554,0.52191,0.40898,0.78209,1.38552,1.22281,0.000526,0.000526,0.000526
10,1145.46,1.03798,1.68062,1.38547,0.56842,0.56047,0.57828,0.46432,0.74156,1.30323,1.18537,0.000513625,0.000513625,0.000513625
11,1272.57,1.01679,1.63221,1.36972,0.5428,0.57354,0.5712,0.46834,0.70598,1.27931,1.16715,0.00050125,0.00050125,0.00050125
12,1398.44,0.99511,1.5533,1.34984,0.70897,0.57287,0.60967,0.49173,0.71116,1.21148,1.1496,0.000488875,0.000488875,0.000488875
13,1526.62,0.95498,1.52483,1.32033,0.62778,0.60941,0.64376,0.53499,0.66025,1.10042,1.13053,0.0004765,0.0004765,0.0004765
14,1660.51,0.94436,1.44171,1.30656,0.66467,0.5696,0.62776,0.51572,0.67733,1.1204,1.13091,0.000464125,0.000464125,0.000464125
15,1796.85,0.93235,1.41683,1.3074,0.70391,0.56592,0.65308,0.54207,0.64817,1.07708,1.11453,0.00045175,0.00045175,0.00045175
16,1933.82,0.91408,1.38726,1.29056,0.63464,0.66429,0.7077,0.59989,0.61133,0.98792,1.08227,0.000439375,0.000439375,0.000439375
17,2078.97,0.90394,1.35128,1.28384,0.6624,0.60222,0.68261,0.5743,0.6162,1.02069,1.0877,0.000427,0.000427,0.000427
18,2217.94,0.88975,1.326,1.27403,0.72759,0.57794,0.66452,0.56732,0.61235,1.03298,1.08486,0.000414625,0.000414625,0.000414625
19,2360.93,0.8791,1.27598,1.26511,0.71541,0.62973,0.69389,0.58888,0.61176,0.98004,1.09141,0.00040225,0.00040225,0.00040225
20,2490.06,0.8667,1.26393,1.25692,0.77145,0.61068,0.71506,0.6158,0.57503,0.95302,1.05264,0.000389875,0.000389875,0.000389875
