epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.089,3.0609,4.91239,4.04423,0.26336,0.03483,0.01235,0.00293,2.59465,3.88209,3.46217,0.000207597,0.000207597,0.000207597
2,194.503,2.31818,3.78361,2.70122,0.2611,0.14499,0.07608,0.03774,1.82584,2.8637,2.30087,0.000407695,0.000407695,0.000407695
3,287.556,1.65206,2.89452,1.97037,0.36996,0.29772,0.16283,0.10287,1.19771,2.27097,1.63919,0.000599543,0.000599543,0.000599543
4,381.237,1.41187,2.53937,1.73498,0.33813,0.3403,0.23454,0.16305,1.06761,2.02571,1.49732,0.000587875,0.000587875,0.000587875
5,473.561,1.30157,2.31288,1.64279,0.32962,0.46515,0.3456,0.25692,0.94558,1.79352,1.38991,0.0005755,0.0005755,0.0005755
6,566.206,1.21885,2.15991,1.57415,0.43256,0.39037,0.36774,0.27182,0.90053,1.73692,1.34655,0.000563125,0.000563125,0.000563125
7,667.084,1.1509,1.9811,1.5122,0.46331,0.42364,0.39518,0.30411,0.86271,1.60048,1.31451,0.00055075,0.00055075,0.00055075
8,785.12,1.11201,1.89388,1.47823,0.41923,0.4857,0.44343,0.34841,0.7812,1.58219,1.24051,0.000538375,0.000538375,0.000538375
9,909.862,1.07237,1.79899,1.43642,0.53366,0.49517,0.51264,0.40101,0.7492,1.42427,1.2149,0.000526,0.000526,0.000526
10,1033.25,1.03569,1.70061,1.4096,0.50579,0.5518,0.55529,0.44163,0.72623,1.37219,1.19126,0.000513625,0.000513625,0.000513625
11,1157.24,1.01326,1.65511,1.3931,0.59836,0.54078,0.54806,0.44294,0.69758,1.37121,1.16528,0.00050125,0.00050125,0.00050125
12,1284.87,0.9853,1.58898,1.36921,0.63043,0.5051,0.56562,0.45499,0.71611,1.2962,1.16389,0.000488875,0.000488875,0.000488875
13,1414.14,0.95176,1.53482,1.34133,0.65194,0.59917,0.63783,0.52943,0.6554,1.09886,1.1281,0.0004765,0.0004765,0.0004765
14,1543.76,0.93878,1.47045,1.32463,0.69739,0.56873,0.61727,0.50974,0.68475,1.17431,1.13926,0.000464125,0.000464125,0.000464125
15,1673.13,0.92799,1.45798,1.32809,0.71623,0.60725,0.68573,0.57398,0.61924,1.01787,1.10264,0.00045175,0.00045175,0.00045175
16,1802.33,0.91718,1.41238,1.31209,0.64941,0.67395,0.68949,0.57364,0.62721,1.01232,1.09743,0.000439375,0.000439375,0.000439375
17,1936.5,0.90485,1.37366,1.30514,0.72509,0.65884,0.70342,0.58961,0.60524,1.03765,1.09066,0.000427,0.000427,0.000427
18,2068.49,0.894,1.34473,1.29569,0.77149,0.61578,0.7062,0.59379,0.61177,0.96165,1.08815,0.000414625,0.000414625,0.000414625
19,2208.73,0.87845,1.30518,1.28662,0.77403,0.59219,0.67907,0.57573,0.60063,0.99775,1.08031,0.00040225,0.00040225,0.00040225
20,2341.87,0.86811,1.28734,1.27637,0.75001,0.65276,0.71452,0.60833,0.58163,0.90506,1.06457,0.000389875,0.000389875,0.000389875
21,2474.31,0.85649,1.2671,1.27001,0.79044,0.65118,0.73584,0.62868,0.57506,0.87572,1.05454,0.0003775,0.0003775,0.0003775
22,2606.76,0.84589,1.23897,1.25773,0.67261,0.67042,0.71526,0.61435,0.55585,0.89838,1.04883,0.000365125,0.000365125,0.000365125
23,2740.27,0.83739,1.21811,1.25502,0.82508,0.66205,0.7665,0.66601,0.53404,0.80158,1.0326,0.00035275,0.00035275,0.00035275
24,2874.03,0.82675,1.18645,1.25004,0.80655,0.65281,0.75502,0.64848,0.55218,0.85141,1.04155,0.000340375,0.000340375,0.000340375
25,3004.45,0.82197,1.19138,1.24288,0.6912,0.69673,0.74326,0.64924,0.53555,0.84189,1.03049,0.000328,0.000328,0.000328
26,3134.82,0.81698,1.15575,1.23589,0.81811,0.66598,0.75756,0.6662,0.52222,0.79913,1.01765,0.000315625,0.000315625,0.000315625
27,3287.44,0.79969,1.13417,1.22553,0.74622,0.71431,0.78721,0.68841,0.52331,0.74729,1.01816,0.00030325,0.00030325,0.00030325
28,3425.18,0.80541,1.14439,1.23488,0.85643,0.65372,0.76544,0.6653,0.52245,0.79625,1.0218,0.000290875,0.000290875,0.000290875
29,3558.69,0.79255,1.11387,1.22159,0.75852,0.72291,0.79566,0.70561,0.50348,0.72015,1.01067,0.0002785,0.0002785,0.0002785
30,3693.9,0.78777,1.09321,1.22346,0.84438,0.69374,0.787,0.6877,0.51381,0.75323,1.01199,0.000266125,0.000266125,0.000266125
31,3829.24,0.78187,1.08616,1.21792,0.75217,0.75981,0.80537,0.70709,0.49762,0.70527,1.00634,0.00025375,0.00025375,0.00025375
32,3975.41,0.78373,1.06126,1.21418,0.86979,0.71235,0.81223,0.71438,0.49239,0.68954,0.99044,0.000241375,0.000241375,0.000241375
33,4125.59,0.76402,1.04764,1.20537,0.88756,0.68075,0.81692,0.72215,0.48702,0.69773,0.99455,0.000229,0.000229,0.000229
34,4274.73,0.75879,1.03069,1.20094,0.78513,0.77137,0.8069,0.71416,0.47632,0.68062,0.98708,0.000216625,0.000216625,0.000216625
35,4422.62,0.75795,1.01574,1.20163,0.82342,0.73099,0.80858,0.71456,0.48318,0.69753,0.99225,0.00020425,0.00020425,0.00020425
36,4573.54,0.74384,1.00269,1.19862,0.87068,0.71138,0.80655,0.71787,0.4727,0.66623,0.98946,0.000191875,0.000191875,0.000191875
37,4726.06,0.75057,0.99242,1.19955,0.83508,0.75986,0.82733,0.73094,0.48001,0.65127,0.99387,0.0001795,0.0001795,0.0001795
38,4871.21,0.7479,0.97875,1.19252,0.88029,0.71189,0.81629,0.72667,0.46333,0.66911,0.98061,0.000167125,0.000167125,0.000167125
39,5010.38,0.74536,0.98695,1.19575,0.84188,0.7448,0.82875,0.73981,0.45489,0.64319,0.9725,0.00015475,0.00015475,0.00015475
40,5159.14,0.72873,0.95433,1.18204,0.82151,0.77943,0.84414,0.75361,0.45013,0.6286,0.96836,0.000142375,0.000142375,0.000142375
41,5336.36,0.5417,0.76061,1.03515,0.84723,0.72177,0.82216,0.74008,0.45225,0.63289,0.96258,0.00013,0.00013,0.00013
42,5459.05,0.51825,0.71739,1.01836,0.79169,0.76351,0.82185,0.73719,0.46304,0.638,0.97362,0.000117625,0.000117625,0.000117625
43,5603.75,0.51983,0.72439,1.02255,0.87252,0.74482,0.83215,0.74969,0.44736,0.61265,0.95844,0.00010525,0.00010525,0.00010525
44,5751.9,0.51052,0.69779,1.00931,0.79046,0.75603,0.8248,0.74127,0.44943,0.62876,0.96383,9.2875e-05,9.2875e-05,9.2875e-05
45,5902.43,0.50344,0.68416,1.00587,0.78847,0.75521,0.83357,0.74701,0.44636,0.61281,0.96021,8.05e-05,8.05e-05,8.05e-05
46,6052.28,0.49335,0.6765,0.99618,0.82721,0.75373,0.84209,0.75573,0.44468,0.5906,0.9558,6.8125e-05,6.8125e-05,6.8125e-05
47,6200.23,0.49121,0.65566,1.00115,0.87415,0.74375,0.84316,0.75849,0.43657,0.58759,0.94952,5.575e-05,5.575e-05,5.575e-05
48,6349.28,0.47909,0.63852,0.98604,0.87878,0.74258,0.84398,0.76166,0.43787,0.58068,0.9502,4.3375e-05,4.3375e-05,4.3375e-05
49,6493.18,0.48074,0.63717,0.99225,0.79728,0.78858,0.84519,0.76135,0.44291,0.58129,0.9554,3.1e-05,3.1e-05,3.1e-05
50,6619.88,0.48278,0.6281,0.99469,0.78853,0.79425,0.8473,0.76433,0.43786,0.57681,0.95358,1.8625e-05,1.8625e-05,1.8625e-05
