epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.178,3.05521,4.89742,4.02669,0.28796,0.05341,0.02158,0.00485,2.46449,3.72595,3.34038,0.000207597,0.000207597,0.000207597
2,226.653,2.25838,3.6703,2.6388,0.26929,0.2099,0.1012,0.05943,1.42264,2.5121,1.91859,0.000407695,0.000407695,0.000407695
3,319.298,1.6258,2.85871,1.96008,0.21503,0.32395,0.17505,0.1097,1.21681,2.29997,1.64117,0.000599543,0.000599543,0.000599543
4,412.001,1.40849,2.51004,1.73797,0.30076,0.36067,0.24923,0.17999,0.99918,2.04685,1.47076,0.000587875,0.000587875,0.000587875
5,504.416,1.28572,2.28225,1.6341,0.33175,0.38308,0.29478,0.22097,0.94078,1.86548,1.39289,0.0005755,0.0005755,0.0005755
6,600.104,1.21391,2.14597,1.57153,0.38828,0.39681,0.37327,0.2818,0.82844,1.68801,1.30475,0.000563125,0.000563125,0.000563125
7,709.505,1.14923,1.98002,1.51438,0.43446,0.3953,0.39106,0.28911,0.91488,1.73125,1.38888,0.00055075,0.00055075,0.00055075
8,833.827,1.11386,1.89269,1.48809,0.46402,0.45234,0.44527,0.35035,0.80896,1.52799,1.25389,0.000538375,0.000538375,0.000538375
9,958.288,1.07743,1.80496,1.45318,0.53119,0.51516,0.50462,0.40301,0.74342,1.44049,1.21512,0.000526,0.000526,0.000526
10,1086.94,1.03518,1.70457,1.4212,0.61178,0.50997,0.55563,0.44379,0.7367,1.31122,1.19958,0.000513625,0.000513625,0.000513625
11,1218.08,1.00874,1.6599,1.40455,0.5892,0.53393,0.54804,0.44994,0.70014,1.30335,1.17448,0.00050125,0.00050125,0.00050125
12,1348.88,0.99424,1.59408,1.38802,0.62207,0.55878,0.58353,0.47684,0.68557,1.23335,1.15037,0.000488875,0.000488875,0.000488875
13,1477.21,0.94916,1.54189,1.3522,0.56261,0.60608,0.63008,0.51968,0.65904,1.1516,1.13453,0.0004765,0.0004765,0.0004765
14,1596.96,0.94133,1.4814,1.33943,0.70857,0.53289,0.61546,0.51457,0.63494,1.08654,1.11367,0.000464125,0.000464125,0.000464125
15,1725.47,0.91701,1.44244,1.33344,0.6518,0.62885,0.66011,0.55309,0.61951,1.07853,1.09921,0.00045175,0.00045175,0.00045175
16,1868.25,0.91654,1.41398,1.32343,0.62387,0.6198,0.65677,0.55074,0.62086,1.05362,1.09579,0.000439375,0.000439375,0.000439375
17,2014.59,0.90313,1.38534,1.31606,0.64919,0.65058,0.69107,0.58133,0.59084,0.99595,1.08354,0.000427,0.000427,0.000427
18,2156.97,0.88009,1.341,1.30101,0.57965,0.67909,0.69914,0.58771,0.61409,0.98131,1.09424,0.000414625,0.000414625,0.000414625
19,2300.66,0.87021,1.29937,1.2924,0.7483,0.62906,0.71871,0.61814,0.59208,0.9206,1.08961,0.00040225,0.00040225,0.00040225
20,2458.08,0.86287,1.28229,1.28026,0.63628,0.62838,0.68501,0.58334,0.58789,0.98223,1.07052,0.000389875,0.000389875,0.000389875
21,2613.66,0.8555,1.25908,1.2783,0.66477,0.70823,0.72241,0.62181,0.56724,0.90384,1.05472,0.0003775,0.0003775,0.0003775
22,2745.19,0.84248,1.23538,1.26501,0.79668,0.62722,0.72735,0.62771,0.55569,0.89406,1.05399,0.000365125,0.000365125,0.000365125
23,2881.64,0.83075,1.20689,1.2618,0.83658,0.63377,0.74521,0.6547,0.53097,0.85498,1.04071,0.00035275,0.00035275,0.00035275
24,3026.5,0.82562,1.18812,1.25996,0.82293,0.65994,0.76287,0.66757,0.52333,0.85512,1.02608,0.000340375,0.000340375,0.000340375
25,3173.84,0.82207,1.18637,1.25714,0.83266,0.68565,0.77281,0.67649,0.52565,0.8117,1.02656,0.000328,0.000328,0.000328
26,3323.55,0.81351,1.15427,1.24575,0.7206,0.73184,0.76712,0.67015,0.52464,0.80126,1.02862,0.000315625,0.000315625,0.000315625
27,3467.47,0.79141,1.12551,1.23196,0.73049,0.70311,0.76208,0.6683,0.53304,0.79873,1.03313,0.00030325,0.00030325,0.00030325
28,3614.39,0.79871,1.12924,1.2397,0.81875,0.70202,0.79273,0.69819,0.50721,0.7757,1.01613,0.000290875,0.000290875,0.000290875
29,3753.03,0.78216,1.10486,1.22956,0.81913,0.71274,0.78412,0.69478,0.50433,0.75193,1.0055,0.0002785,0.0002785,0.0002785
30,3893.2,0.78669,1.08723,1.23273,0.77272,0.7393,0.79403,0.6997,0.50578,0.7411,1.01564,0.000266125,0.000266125,0.000266125
31,4038.9,0.78,1.07553,1.22703,0.70724,0.76356,0.79052,0.69986,0.49031,0.75688,1.00107,0.00025375,0.00025375,0.00025375
32,4186.85,0.77728,1.05697,1.22069,0.86499,0.68548,0.79825,0.70922,0.47892,0.71287,0.99352,0.000241375,0.000241375,0.000241375
33,4328.85,0.75647,1.03336,1.21013,0.85332,0.72259,0.8117,0.71849,0.48157,0.69737,0.9976,0.000229,0.000229,0.000229
34,4449.39,0.75341,1.02537,1.20538,0.83998,0.72054,0.81549,0.72617,0.48084,0.70193,0.99314,0.000216625,0.000216625,0.000216625
35,4574.95,0.75049,1.00638,1.20589,0.84827,0.70949,0.8031,0.714,0.47383,0.71845,0.98738,0.00020425,0.00020425,0.00020425
36,4701.53,0.74385,0.99751,1.20927,0.85016,0.7096,0.80113,0.71682,0.46742,0.68205,0.99185,0.000191875,0.000191875,0.000191875
37,4829.64,0.74612,0.99287,1.20716,0.79617,0.76201,0.8254,0.7364,0.47345,0.65544,0.99087,0.0001795,0.0001795,0.0001795
38,4961.52,0.73953,0.97636,1.19781,0.78592,0.75894,0.8146,0.72539,0.46052,0.66985,0.97814,0.000167125,0.000167125,0.000167125
39,5095.34,0.7399,0.98041,1.20151,0.74346,0.78849,0.81949,0.73603,0.45599,0.65469,0.97907,0.00015475,0.00015475,0.00015475
40,5231.24,0.72597,0.94762,1.18928,0.79406,0.7835,0.83391,0.75378,0.44564,0.64163,0.96976,0.000142375,0.000142375,0.000142375
41,5374.43,0.53289,0.74225,1.0303,0.74313,0.78137,0.8231,0.74389,0.45364,0.63793,0.96465,0.00013,0.00013,0.00013
42,5491.05,0.51211,0.70321,1.01652,0.89015,0.70627,0.81557,0.7347,0.45208,0.65527,0.96739,0.000117625,0.000117625,0.000117625
43,5616.71,0.5095,0.70122,1.01601,0.87319,0.74694,0.82882,0.74905,0.44392,0.62085,0.9642,0.00010525,0.00010525,0.00010525
44,5742.13,0.50211,0.68455,1.0036,0.87837,0.72335,0.8231,0.74576,0.44507,0.63658,0.96271,9.2875e-05,9.2875e-05,9.2875e-05
45,5868.99,0.49446,0.6696,0.99918,0.75085,0.80724,0.83837,0.76255,0.43496,0.60043,0.95332,8.05e-05,8.05e-05,8.05e-05
46,5998.02,0.48401,0.65589,0.99019,0.80198,0.79804,0.8518,0.77117,0.43979,0.59023,0.95596,6.8125e-05,6.8125e-05,6.8125e-05
47,6125.17,0.4821,0.64888,0.9952,0.8494,0.76259,0.84018,0.76734,0.42499,0.59413,0.94606,5.575e-05,5.575e-05,5.575e-05
48,6256.73,0.47505,0.6296,0.98549,0.79096,0.78844,0.83903,0.76497,0.43496,0.58453,0.95204,4.3375e-05,4.3375e-05,4.3375e-05
49,6382.9,0.47642,0.62899,0.99082,0.7871,0.79222,0.84267,0.77046,0.42989,0.58054,0.95207,3.1e-05,3.1e-05,3.1e-05
50,6508.85,0.47706,0.62627,0.9928,0.77307,0.79205,0.84156,0.7702,0.42732,0.58257,0.94906,1.8625e-05,1.8625e-05,1.8625e-05
