epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.305,3.0557,4.89015,4.00844,0.00557,0.40244,0.00939,0.00253,2.4431,3.81018,3.3533,0.000207597,0.000207597,0.000207597
2,216.021,2.19168,3.61622,2.57525,0.26298,0.23241,0.10948,0.0636,1.46818,2.5116,1.94413,0.000407695,0.000407695,0.000407695
3,317.333,1.63974,2.8656,1.98861,0.31879,0.34319,0.18666,0.12473,1.19878,2.23378,1.64328,0.000599543,0.000599543,0.000599543
4,418.217,1.42254,2.52935,1.77324,0.18496,0.3685,0.25275,0.1801,1.09514,1.9944,1.55099,0.000587875,0.000587875,0.000587875
5,525.449,1.31588,2.32646,1.68118,0.32831,0.41461,0.31447,0.23819,0.93432,1.76846,1.39573,0.0005755,0.0005755,0.0005755
6,629.986,1.22781,2.16417,1.59512,0.42001,0.43433,0.36926,0.28096,0.87622,1.74968,1.33913,0.000563125,0.000563125,0.000563125
7,735.378,1.16644,1.98783,1.53444,0.46879,0.4712,0.43496,0.32545,0.87009,1.6252,1.31985,0.00055075,0.00055075,0.00055075
8,829.139,1.13382,1.90443,1.50815,0.45056,0.49996,0.50185,0.3987,0.76786,1.45246,1.25483,0.000538375,0.000538375,0.000538375
9,917.838,1.08766,1.80482,1.46082,0.54405,0.47161,0.48384,0.3807,0.77508,1.41881,1.23592,0.000526,0.000526,0.000526
10,1006.72,1.04221,1.71645,1.42926,0.62889,0.57299,0.56696,0.46406,0.69726,1.28379,1.18263,0.000513625,0.000513625,0.000513625
11,1098.06,1.02194,1.68155,1.41352,0.59399,0.55956,0.58862,0.4812,0.68654,1.21828,1.15985,0.00050125,0.00050125,0.00050125
12,1187.04,1.00482,1.60313,1.39624,0.65173,0.55211,0.59189,0.47248,0.73539,1.22341,1.18734,0.000488875,0.000488875,0.000488875
13,1276.44,0.96875,1.57374,1.36887,0.64802,0.57798,0.60823,0.50495,0.66781,1.10907,1.15207,0.0004765,0.0004765,0.0004765
14,1365.9,0.94692,1.49675,1.34384,0.62803,0.59163,0.61237,0.50829,0.64323,1.13596,1.13012,0.000464125,0.000464125,0.000464125
15,1456.85,0.94084,1.47512,1.34957,0.75321,0.55233,0.65881,0.55775,0.62998,1.05632,1.11902,0.00045175,0.00045175,0.00045175
16,1546,0.93454,1.44088,1.33908,0.75952,0.57772,0.67448,0.56546,0.61689,1.04353,1.09362,0.000439375,0.000439375,0.000439375
17,1635.6,0.91738,1.40483,1.33028,0.78069,0.60583,0.69502,0.58768,0.60788,0.99436,1.09389,0.000427,0.000427,0.000427
18,1724.8,0.89903,1.37543,1.31368,0.75797,0.65373,0.73029,0.62494,0.58692,0.93335,1.0891,0.000414625,0.000414625,0.000414625
19,1812.83,0.88421,1.33355,1.3025,0.70687,0.63912,0.6885,0.58896,0.59425,1.00841,1.08036,0.00040225,0.00040225,0.00040225
20,1901.29,0.87536,1.3162,1.29383,0.77343,0.64294,0.72643,0.62987,0.57057,0.90272,1.06734,0.000389875,0.000389875,0.000389875
21,1991.3,0.87119,1.2926,1.28985,0.845,0.62238,0.73497,0.6315,0.57616,0.89079,1.06683,0.0003775,0.0003775,0.0003775
22,2080.96,0.8601,1.25925,1.27601,0.81274,0.66526,0.74596,0.64302,0.56369,0.85627,1.05091,0.000365125,0.000365125,0.000365125
23,2169.41,0.84397,1.22944,1.27026,0.79297,0.64211,0.74302,0.64554,0.53818,0.87061,1.04663,0.00035275,0.00035275,0.00035275
24,2259.3,0.83829,1.21397,1.26701,0.84347,0.64133,0.75893,0.65794,0.5323,0.87683,1.02961,0.000340375,0.000340375,0.000340375
