epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.0737,3.0564,4.90246,4.02833,0.34537,0.0428,0.01155,0.00321,2.58483,3.89242,3.5264,0.000207597,0.000207597,0.000207597
2,191.75,2.28699,3.71916,2.69576,0.26108,0.23759,0.10523,0.05989,1.4815,2.53104,1.95692,0.000407695,0.000407695,0.000407695
3,284.585,1.64321,2.8897,1.98181,0.32815,0.24722,0.18282,0.11587,1.2534,2.29338,1.6837,0.000599543,0.000599543,0.000599543
4,374.816,1.41249,2.54132,1.75213,0.27406,0.40249,0.24943,0.18582,0.98758,1.95236,1.4653,0.000587875,0.000587875,0.000587875
5,465.274,1.29602,2.29087,1.64641,0.2996,0.41851,0.29616,0.21394,0.94767,1.99919,1.40101,0.0005755,0.0005755,0.0005755
6,563.139,1.20952,2.14416,1.56881,0.40762,0.45318,0.40376,0.29954,0.86921,1.68092,1.32415,0.000563125,0.000563125,0.000563125
7,657.675,1.15006,1.97214,1.51082,0.44694,0.48175,0.40623,0.30393,0.87698,1.63476,1.31408,0.00055075,0.00055075,0.00055075
8,762.671,1.11312,1.87405,1.48232,0.55937,0.44246,0.45731,0.35458,0.78493,1.53705,1.23219,0.000538375,0.000538375,0.000538375
9,876.567,1.07304,1.7893,1.44354,0.46241,0.5011,0.49913,0.39237,0.78105,1.42533,1.22225,0.000526,0.000526,0.000526
10,992.954,1.0364,1.70064,1.41624,0.57701,0.50758,0.55301,0.44702,0.7245,1.37056,1.18595,0.000513625,0.000513625,0.000513625
11,1109.87,1.01525,1.66091,1.40354,0.58658,0.52367,0.5636,0.45591,0.69202,1.30849,1.15951,0.00050125,0.00050125,0.00050125
12,1231.3,1.00145,1.58519,1.38745,0.62989,0.57973,0.60454,0.50104,0.6792,1.16471,1.13832,0.000488875,0.000488875,0.000488875
13,1350.8,0.96062,1.55056,1.35595,0.69116,0.60724,0.64202,0.53624,0.64986,1.09862,1.12436,0.0004765,0.0004765,0.0004765
14,1476.35,0.94478,1.48306,1.33325,0.65048,0.57345,0.60771,0.5046,0.68424,1.12118,1.13503,0.000464125,0.000464125,0.000464125
15,1652.15,0.93168,1.46138,1.33861,0.66477,0.60125,0.6588,0.55343,0.64082,1.08486,1.10884,0.00045175,0.00045175,0.00045175
16,1822.05,0.92524,1.42906,1.32354,0.60191,0.65887,0.66765,0.56097,0.61612,1.06778,1.08391,0.000439375,0.000439375,0.000439375
17,1993.44,0.90957,1.39168,1.31538,0.65325,0.61887,0.69143,0.59043,0.59736,0.99604,1.07821,0.000427,0.000427,0.000427
18,2168.3,0.89047,1.35393,1.30096,0.66072,0.64642,0.71661,0.60972,0.59285,0.95084,1.07633,0.000414625,0.000414625,0.000414625
19,2323.11,0.88151,1.31349,1.29438,0.75096,0.62557,0.70216,0.6006,0.59864,0.96112,1.08257,0.00040225,0.00040225,0.00040225
20,2476.86,0.87012,1.28829,1.28118,0.73526,0.64398,0.68772,0.58885,0.58699,0.99252,1.06421,0.000389875,0.000389875,0.000389875
21,2617.54,0.86532,1.28021,1.27884,0.71748,0.62702,0.72251,0.61883,0.56899,0.91151,1.06286,0.0003775,0.0003775,0.0003775
22,2750.63,0.84925,1.2405,1.26378,0.69716,0.69023,0.73795,0.63032,0.56705,0.87201,1.0635,0.000365125,0.000365125,0.000365125
23,2882.47,0.83916,1.21578,1.26108,0.82786,0.60981,0.73753,0.64401,0.53966,0.87757,1.04531,0.00035275,0.00035275,0.00035275
24,3015.14,0.82832,1.20749,1.25568,0.79295,0.66892,0.75079,0.64887,0.55213,0.85785,1.03798,0.000340375,0.000340375,0.000340375
25,3147.03,0.82807,1.19838,1.2508,0.75699,0.68281,0.75946,0.66132,0.54452,0.82291,1.03286,0.000328,0.000328,0.000328
26,3281.98,0.82454,1.17531,1.24583,0.85982,0.69227,0.78422,0.68599,0.52027,0.74265,1.01271,0.000315625,0.000315625,0.000315625
27,3419.37,0.80537,1.13951,1.23348,0.75014,0.71696,0.77628,0.68216,0.5309,0.78875,1.02795,0.00030325,0.00030325,0.00030325
28,3557.28,0.80532,1.14817,1.23911,0.7867,0.70637,0.78523,0.6815,0.52141,0.81073,1.01614,0.000290875,0.000290875,0.000290875
29,3692.99,0.79633,1.12295,1.23008,0.79651,0.71453,0.79157,0.69991,0.51184,0.73192,1.01191,0.0002785,0.0002785,0.0002785
30,3827.57,0.79599,1.097,1.23028,0.80416,0.72298,0.79918,0.70559,0.50386,0.75749,1.00562,0.000266125,0.000266125,0.000266125
31,3961.35,0.78881,1.09773,1.2275,0.78165,0.72122,0.8031,0.71169,0.49066,0.7359,1.00413,0.00025375,0.00025375,0.00025375
32,4096.82,0.78105,1.06387,1.2174,0.8241,0.72516,0.81166,0.72463,0.48909,0.70388,0.99503,0.000241375,0.000241375,0.000241375
33,4244.8,0.7661,1.04321,1.21193,0.82174,0.74619,0.81565,0.72518,0.48272,0.69629,0.98963,0.000229,0.000229,0.000229
34,4402.44,0.76385,1.03574,1.20713,0.75022,0.76373,0.8134,0.7203,0.47792,0.70639,0.98933,0.000216625,0.000216625,0.000216625
35,4561.13,0.76094,1.01859,1.20777,0.7691,0.73187,0.79764,0.71067,0.47067,0.71592,0.98175,0.00020425,0.00020425,0.00020425
36,4721.61,0.75306,1.01285,1.20905,0.79728,0.73471,0.81961,0.73017,0.47089,0.66376,0.98999,0.000191875,0.000191875,0.000191875
37,4885.76,0.74929,0.99731,1.20448,0.86139,0.75681,0.83167,0.74374,0.4718,0.64514,0.98801,0.0001795,0.0001795,0.0001795
38,5048.54,0.74724,0.98518,1.1951,0.83299,0.73834,0.81981,0.7309,0.46567,0.66648,0.97738,0.000167125,0.000167125,0.000167125
39,5212.81,0.74332,0.99272,1.20002,0.86175,0.73843,0.82871,0.74244,0.45777,0.65272,0.97788,0.00015475,0.00015475,0.00015475
40,5370.64,0.72793,0.95918,1.18348,0.77361,0.77812,0.83169,0.74957,0.44941,0.63413,0.97078,0.000142375,0.000142375,0.000142375
41,5556.36,0.54054,0.76196,1.03687,0.84533,0.75261,0.83415,0.74647,0.45367,0.6103,0.97151,0.00013,0.00013,0.00013
42,5696.77,0.51569,0.71437,1.02063,0.82004,0.73546,0.82529,0.7429,0.4598,0.63537,0.97473,0.000117625,0.000117625,0.000117625
43,5848.86,0.51566,0.71282,1.0241,0.88036,0.72172,0.82378,0.74388,0.44529,0.61334,0.95966,0.00010525,0.00010525,0.00010525
44,6000.27,0.50853,0.69861,1.01138,0.78456,0.75781,0.82734,0.74838,0.45177,0.63631,0.9676,9.2875e-05,9.2875e-05,9.2875e-05
45,6141.55,0.50571,0.68431,1.00945,0.83574,0.74727,0.83559,0.75695,0.44192,0.60163,0.95339,8.05e-05,8.05e-05,8.05e-05
46,6280.53,0.49388,0.67386,1.0007,0.81365,0.75977,0.83766,0.76049,0.44347,0.59101,0.95874,6.8125e-05,6.8125e-05,6.8125e-05
47,6415.54,0.48791,0.65599,1.00265,0.8839,0.74128,0.84387,0.76928,0.42992,0.57663,0.95032,5.575e-05,5.575e-05,5.575e-05
48,6549.79,0.47907,0.63553,0.99024,0.90533,0.74765,0.84594,0.76643,0.43807,0.57503,0.95871,4.3375e-05,4.3375e-05,4.3375e-05
49,6683.06,0.47964,0.64328,0.99699,0.81773,0.77013,0.84486,0.76552,0.43246,0.56817,0.9562,3.1e-05,3.1e-05,3.1e-05
50,6823.75,0.48291,0.63565,1.0002,0.90377,0.74742,0.84665,0.77021,0.4246,0.56509,0.94942,1.8625e-05,1.8625e-05,1.8625e-05
