epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.669,2.95032,4.82711,3.88007,0.09393,0.04084,0.00923,0.00308,2.3333,3.99735,3.21854,0.000207597,0.000207597,0.000207597
2,211.673,2.09227,3.53856,2.51185,0.43315,0.164,0.10598,0.06372,1.46242,2.55976,1.97672,0.000407695,0.000407695,0.000407695
3,302.542,1.6104,2.86029,1.95629,0.49897,0.23922,0.20092,0.13562,1.16986,2.1544,1.63165,0.000599543,0.000599543,0.000599543
4,391.373,1.42772,2.53106,1.76327,0.32635,0.42415,0.30124,0.213,1.03004,1.94792,1.48502,0.000587875,0.000587875,0.000587875
5,480.731,1.30479,2.29059,1.65475,0.46986,0.35718,0.34046,0.2599,0.94454,1.8334,1.38206,0.0005755,0.0005755,0.0005755
6,577.679,1.22905,2.12637,1.5824,0.49588,0.41055,0.39305,0.29301,0.91404,1.70766,1.34793,0.000563125,0.000563125,0.000563125
7,674.94,1.16583,1.9591,1.52086,0.48523,0.51031,0.47525,0.37156,0.84445,1.47389,1.29162,0.00055075,0.00055075,0.00055075
8,769.934,1.12162,1.87952,1.48734,0.44578,0.53153,0.49523,0.39513,0.77079,1.47381,1.25029,0.000538375,0.000538375,0.000538375
9,858.739,1.08037,1.79051,1.44823,0.51549,0.53143,0.52473,0.4147,0.7554,1.41373,1.20975,0.000526,0.000526,0.000526
10,947.976,1.04249,1.69908,1.41918,0.60339,0.56476,0.58594,0.47182,0.71993,1.28736,1.18858,0.000513625,0.000513625,0.000513625
11,1037.12,1.01263,1.64713,1.3951,0.59708,0.5433,0.58367,0.47784,0.70247,1.26675,1.17168,0.00050125,0.00050125,0.00050125
12,1126.74,1.0037,1.59167,1.38467,0.63981,0.54155,0.58522,0.48365,0.69128,1.21697,1.15281,0.000488875,0.000488875,0.000488875
13,1215.47,0.96137,1.53853,1.35224,0.56587,0.6093,0.61578,0.51498,0.65023,1.13026,1.13115,0.0004765,0.0004765,0.0004765
14,1304.51,0.94741,1.46658,1.3286,0.66083,0.60947,0.65111,0.54421,0.65011,1.08352,1.12063,0.000464125,0.000464125,0.000464125
15,1394.51,0.93285,1.44309,1.33242,0.71303,0.59118,0.6631,0.55471,0.63236,1.05694,1.11395,0.00045175,0.00045175,0.00045175
16,1484.56,0.91791,1.40668,1.31537,0.61155,0.64021,0.66829,0.55227,0.63829,1.07108,1.10756,0.000439375,0.000439375,0.000439375
17,1573.53,0.91596,1.37481,1.312,0.70292,0.63037,0.69909,0.59176,0.60326,1.02437,1.08087,0.000427,0.000427,0.000427
18,1662.6,0.89573,1.34347,1.29747,0.68813,0.61946,0.71036,0.60415,0.59133,0.97855,1.07881,0.000414625,0.000414625,0.000414625
19,1751.43,0.88402,1.29654,1.2855,0.62795,0.67433,0.69471,0.60278,0.59152,0.96471,1.06835,0.00040225,0.00040225,0.00040225
20,1839.84,0.86692,1.28395,1.27311,0.74875,0.63815,0.70539,0.60247,0.59,0.96622,1.07273,0.000389875,0.000389875,0.000389875
21,1929.35,0.86333,1.25798,1.27305,0.78637,0.64722,0.7343,0.63188,0.59073,0.90828,1.06721,0.0003775,0.0003775,0.0003775
