epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.444,3.05192,4.89259,4.01218,0.00242,0.41208,0.00655,0.00166,2.48144,3.83806,3.49241,0.000207597,0.000207597,0.000207597
2,248.086,2.2664,3.70778,2.68714,0.34076,0.22147,0.08641,0.05051,1.50216,2.66214,2.01827,0.000407695,0.000407695,0.000407695
3,369.176,1.65066,2.88632,2.01957,0.30204,0.31424,0.1725,0.11074,1.25064,2.43828,1.73087,0.000599543,0.000599543,0.000599543
4,487.223,1.41127,2.52676,1.78336,0.16073,0.33833,0.2182,0.15908,1.02674,2.12054,1.50171,0.000587875,0.000587875,0.000587875
5,604.088,1.29743,2.28746,1.67239,0.43077,0.4203,0.33457,0.24911,0.92723,1.80996,1.38771,0.0005755,0.0005755,0.0005755
6,710.742,1.20725,2.117,1.58779,0.55443,0.35277,0.38236,0.28579,0.86879,1.72115,1.33539,0.000563125,0.000563125,0.000563125
7,815.106,1.15035,1.95914,1.52947,0.43859,0.44373,0.42972,0.3318,0.85055,1.60465,1.3128,0.00055075,0.00055075,0.00055075
8,929.607,1.11442,1.87745,1.49792,0.53669,0.46538,0.48902,0.38146,0.7866,1.51037,1.26362,0.000538375,0.000538375,0.000538375
9,1051.59,1.07415,1.7895,1.46238,0.5436,0.50241,0.51048,0.39979,0.74878,1.43966,1.21881,0.000526,0.000526,0.000526
10,1167.02,1.0349,1.71762,1.43403,0.59973,0.54486,0.57317,0.45711,0.7167,1.32042,1.19036,0.000513625,0.000513625,0.000513625
11,1280.85,1.00737,1.66786,1.41161,0.62854,0.53609,0.57549,0.46926,0.68913,1.27068,1.16589,0.00050125,0.00050125,0.00050125
12,1388.55,0.99271,1.59929,1.39456,0.69444,0.52584,0.62028,0.51283,0.67376,1.18791,1.14906,0.000488875,0.000488875,0.000488875
13,1508.83,0.95491,1.54871,1.36493,0.63643,0.59008,0.65838,0.54616,0.64872,1.09842,1.13796,0.0004765,0.0004765,0.0004765
14,1624.5,0.93495,1.47131,1.3436,0.69669,0.58669,0.63604,0.53199,0.65894,1.09664,1.1237,0.000464125,0.000464125,0.000464125
15,1740.43,0.92361,1.46051,1.34557,0.7552,0.61416,0.68179,0.57283,0.61913,1.04238,1.1057,0.00045175,0.00045175,0.00045175
16,1849.58,0.91413,1.422,1.33096,0.7782,0.52769,0.6456,0.53961,0.63517,1.11757,1.10319,0.000439375,0.000439375,0.000439375
17,1967.15,0.90142,1.38252,1.32363,0.61155,0.65829,0.67929,0.57301,0.59955,1.03844,1.08704,0.000427,0.000427,0.000427
18,2086.39,0.89134,1.36122,1.31422,0.64905,0.62904,0.6767,0.5697,0.61821,1.04065,1.09727,0.000414625,0.000414625,0.000414625
19,2201.57,0.88128,1.31354,1.30195,0.74262,0.57389,0.64391,0.54674,0.60778,1.08718,1.09559,0.00040225,0.00040225,0.00040225
20,2314.33,0.87098,1.29091,1.2919,0.6427,0.6635,0.69329,0.59491,0.57814,1.01278,1.06544,0.000389875,0.000389875,0.000389875
21,2431.42,0.86087,1.27942,1.28714,0.72258,0.6354,0.68605,0.59083,0.58077,1.01068,1.07038,0.0003775,0.0003775,0.0003775
22,2549.71,0.84875,1.24502,1.27425,0.74141,0.65908,0.73129,0.62851,0.55752,0.90584,1.04978,0.000365125,0.000365125,0.000365125
23,2667.76,0.83374,1.21789,1.26814,0.79084,0.68026,0.75323,0.65869,0.53584,0.86063,1.03966,0.00035275,0.00035275,0.00035275
24,2785.22,0.82727,1.20493,1.26397,0.83323,0.65234,0.75873,0.66795,0.51793,0.85242,1.02185,0.000340375,0.000340375,0.000340375
25,2903.4,0.82429,1.18749,1.25547,0.79787,0.70014,0.76845,0.67422,0.52237,0.80718,1.02046,0.000328,0.000328,0.000328
26,3021.43,0.81838,1.16056,1.2495,0.85058,0.66483,0.76487,0.67505,0.51955,0.80967,1.02545,0.000315625,0.000315625,0.000315625
27,3129.95,0.79679,1.1284,1.23743,0.87671,0.64208,0.76792,0.68045,0.52608,0.77446,1.03135,0.00030325,0.00030325,0.00030325
28,3232.75,0.80424,1.13799,1.24686,0.74392,0.7495,0.79499,0.69482,0.52591,0.77154,1.02864,0.000290875,0.000290875,0.000290875
