epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.105,3.05142,4.91159,4.03952,0.00244,0.45181,0.00526,0.00132,2.53433,3.97596,3.35373,0.000207597,0.000207597,0.000207597
2,218.797,2.30502,3.77629,2.64755,0.25392,0.18822,0.07796,0.04088,1.65235,2.67433,2.10002,0.000407695,0.000407695,0.000407695
3,322.989,1.65699,2.86253,1.93675,0.33488,0.24081,0.13515,0.08736,1.44838,2.56219,1.90032,0.000599543,0.000599543,0.000599543
4,425.793,1.42763,2.49014,1.70889,0.2786,0.42628,0.27388,0.19351,1.05666,2.05853,1.45943,0.000587875,0.000587875,0.000587875
5,524.483,1.31215,2.2605,1.60931,0.34865,0.44388,0.36112,0.26592,0.94286,1.75774,1.35491,0.0005755,0.0005755,0.0005755
6,630.27,1.21735,2.09589,1.52958,0.34761,0.41101,0.36464,0.26781,0.89994,1.8407,1.32501,0.000563125,0.000563125,0.000563125
7,742.493,1.15423,1.93214,1.47978,0.64655,0.37655,0.45629,0.35102,0.88092,1.58059,1.31563,0.00055075,0.00055075,0.00055075
8,866.733,1.11307,1.83517,1.44528,0.60767,0.54521,0.54419,0.42962,0.79077,1.36615,1.23073,0.000538375,0.000538375,0.000538375
9,991.431,1.07418,1.75406,1.40794,0.52372,0.4369,0.47303,0.37554,0.76383,1.54503,1.20444,0.000526,0.000526,0.000526
10,1118.83,1.02936,1.64344,1.37444,0.63699,0.57279,0.59668,0.48262,0.73287,1.2665,1.18625,0.000513625,0.000513625,0.000513625
11,1251.41,1.01644,1.61339,1.36564,0.68918,0.56843,0.63592,0.51661,0.71887,1.17363,1.16122,0.00050125,0.00050125,0.00050125
12,1378.1,0.9935,1.55605,1.34801,0.63338,0.59148,0.60946,0.49759,0.69771,1.14523,1.14063,0.000488875,0.000488875,0.000488875
13,1504.54,0.94795,1.49037,1.31458,0.71427,0.624,0.66148,0.55473,0.65874,1.06762,1.12284,0.0004765,0.0004765,0.0004765
14,1632.96,0.93765,1.43095,1.29778,0.67871,0.56622,0.62134,0.51485,0.67462,1.16256,1.12454,0.000464125,0.000464125,0.000464125
15,1763.17,0.92934,1.41265,1.30459,0.76532,0.59142,0.67564,0.56453,0.64935,1.04554,1.11886,0.00045175,0.00045175,0.00045175
16,1890.04,0.91687,1.37961,1.29065,0.69659,0.59797,0.65533,0.54895,0.63018,1.07569,1.0825,0.000439375,0.000439375,0.000439375
17,2023.62,0.90852,1.34461,1.28264,0.7682,0.64057,0.73026,0.6162,0.59591,0.94831,1.0724,0.000427,0.000427,0.000427
18,2154.47,0.88392,1.31529,1.27167,0.6681,0.65386,0.71186,0.60971,0.59697,0.96779,1.07825,0.000414625,0.000414625,0.000414625
19,2281.96,0.87874,1.26814,1.26505,0.76078,0.62014,0.69947,0.6003,0.58583,0.93008,1.07592,0.00040225,0.00040225,0.00040225
20,2403.93,0.86676,1.25776,1.25309,0.79704,0.58407,0.7085,0.60472,0.59797,0.9449,1.06964,0.000389875,0.000389875,0.000389875
21,2529.66,0.85689,1.23558,1.24701,0.80822,0.65845,0.75453,0.64551,0.58636,0.83857,1.05506,0.0003775,0.0003775,0.0003775
22,2655.55,0.84633,1.20934,1.23657,0.81654,0.64379,0.76013,0.66035,0.54585,0.84552,1.03069,0.000365125,0.000365125,0.000365125
23,2782.45,0.82955,1.17128,1.22826,0.85577,0.65759,0.77426,0.67178,0.55219,0.80825,1.04368,0.00035275,0.00035275,0.00035275
