epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.115,3.06034,4.92095,4.05935,0.4234,0.01206,0.00645,0.00166,2.57522,3.97165,3.4379,0.000207597,0.000207597,0.000207597
2,198.641,2.31451,3.76719,2.7114,0.27888,0.16369,0.0964,0.05763,1.48981,2.57189,1.98923,0.000407695,0.000407695,0.000407695
3,292.267,1.64628,2.91632,1.98045,0.3181,0.31412,0.16379,0.09996,1.28942,2.26309,1.6949,0.000599543,0.000599543,0.000599543
4,384.528,1.41318,2.55865,1.74995,0.26934,0.346,0.22582,0.1578,1.06858,2.0796,1.49405,0.000587875,0.000587875,0.000587875
5,479.472,1.29738,2.31853,1.64478,0.42109,0.40141,0.30979,0.22912,0.95565,1.85264,1.40363,0.0005755,0.0005755,0.0005755
6,572.274,1.21202,2.16023,1.56832,0.38477,0.47065,0.36806,0.27644,0.88985,1.6978,1.33478,0.000563125,0.000563125,0.000563125
7,666.994,1.15432,1.99743,1.51298,0.43489,0.48248,0.41263,0.29895,0.90899,1.75003,1.34655,0.00055075,0.00055075,0.00055075
8,771.822,1.11846,1.90159,1.48316,0.44716,0.49736,0.45854,0.35802,0.7951,1.45707,1.25892,0.000538375,0.000538375,0.000538375
9,887.747,1.07096,1.81824,1.44172,0.55178,0.52748,0.50161,0.3934,0.74716,1.42835,1.2093,0.000526,0.000526,0.000526
10,1008.25,1.03277,1.72244,1.41205,0.58484,0.54167,0.55234,0.44998,0.72465,1.28653,1.19433,0.000513625,0.000513625,0.000513625
11,1130.42,1.0103,1.66863,1.39665,0.63911,0.52619,0.58591,0.47512,0.70641,1.25145,1.17788,0.00050125,0.00050125,0.00050125
12,1253.88,0.99478,1.60091,1.37598,0.66544,0.58878,0.63296,0.51989,0.69445,1.11878,1.14465,0.000488875,0.000488875,0.000488875
13,1380.21,0.95459,1.54906,1.34633,0.62037,0.62674,0.67517,0.56663,0.64585,1.05552,1.12213,0.0004765,0.0004765,0.0004765
14,1505.5,0.93648,1.48258,1.32934,0.75087,0.55585,0.6467,0.53567,0.65656,1.05203,1.12209,0.000464125,0.000464125,0.000464125
15,1633.54,0.92329,1.45639,1.33163,0.70687,0.59656,0.64291,0.53639,0.66429,1.10107,1.12804,0.00045175,0.00045175,0.00045175
16,1758.37,0.92113,1.41839,1.32136,0.77844,0.60325,0.69424,0.58855,0.60782,0.971,1.08461,0.000439375,0.000439375,0.000439375
17,1885.15,0.90253,1.37268,1.30842,0.63888,0.66922,0.69264,0.5821,0.59115,1.00504,1.07775,0.000427,0.000427,0.000427
18,2011.6,0.88464,1.35013,1.29643,0.69437,0.68362,0.7107,0.60197,0.5935,0.96345,1.07878,0.000414625,0.000414625,0.000414625
19,2137.49,0.87772,1.30466,1.28985,0.7797,0.61811,0.70972,0.60608,0.59124,0.90885,1.07356,0.00040225,0.00040225,0.00040225
