epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,158.641,3.0881,5.04017,4.2449,0.00076,0.16378,0.00063,0.00017,2.58288,4.41891,4.32898,0.000622792,0.000207597,0.000622792,0.000207597,0.000622792,0.000207597,0.000622792,0.000207597
2,298.75,3.06152,4.98359,4.22505,0.00087,0.18025,0.00078,0.00021,2.58481,4.20303,4.31297,0.00123544,0.000411813,0.00123544,0.000411813,0.00123544,0.000411813,0.00123544,0.000411813
3,447.923,3.06562,4.94944,4.1888,0.00123,0.24667,0.00144,0.00037,2.56528,4.07939,4.25613,0.00183571,0.000611903,0.00183571,0.000611903,0.00183571,0.000611903,0.00183571,0.000611903
4,566.715,3.05466,4.80916,4.11395,0.25369,0.01163,0.00186,0.00051,2.55373,4.03855,4.23225,0.00181931,0.000606437,0.00181931,0.000606437,0.00181931,0.000606437,0.00181931,0.000606437
5,691.206,2.95971,4.5334,3.94985,0.26667,0.04029,0.0107,0.00308,2.35616,3.61152,3.81266,0.00180075,0.00060025,0.00180075,0.00060025,0.00180075,0.00060025,0.00180075,0.00060025
6,812.661,2.78371,4.16911,3.72185,0.2068,0.09572,0.026,0.00865,2.19946,3.37756,3.50167,0.00178219,0.000594062,0.00178219,0.000594062,0.00178219,0.000594062,0.00178219,0.000594062
7,934.923,2.60166,3.85362,3.43164,0.25155,0.0997,0.06215,0.02543,2.00824,2.93222,3.14862,0.00176363,0.000587875,0.00176363,0.000587875,0.00176363,0.000587875,0.00176363,0.000587875
8,1074.56,2.41368,3.6047,3.14813,0.37792,0.2053,0.09869,0.04464,1.86096,2.71599,2.83979,0.00174506,0.000581687,0.00174506,0.000581687,0.00174506,0.000581687,0.00174506,0.000581687
9,1230.18,2.203,3.35578,2.91336,0.29017,0.22845,0.11586,0.06078,1.72637,2.59469,2.66423,0.0017265,0.0005755,0.0017265,0.0005755,0.0017265,0.0005755,0.0017265,0.0005755
10,1354.98,2.0123,3.14991,2.71347,0.24438,0.30004,0.15242,0.09,1.53227,2.39338,2.43767,0.00170794,0.000569313,0.00170794,0.000569313,0.00170794,0.000569313,0.00170794,0.000569313
11,1475.03,1.8411,2.97569,2.51658,0.23672,0.31517,0.18833,0.12083,1.35067,2.2274,2.19089,0.00168937,0.000563125,0.00168937,0.000563125,0.00168937,0.000563125,0.00168937,0.000563125
12,1596.54,1.70622,2.83922,2.35635,0.18535,0.34175,0.2204,0.14547,1.27326,2.12213,2.0782,0.00167081,0.000556938,0.00167081,0.000556938,0.00167081,0.000556938,0.00167081,0.000556938
13,1714.7,1.60205,2.72676,2.22582,0.20307,0.34244,0.24911,0.16817,1.15588,2.02924,1.92895,0.00165225,0.00055075,0.00165225,0.00055075,0.00165225,0.00055075,0.00165225,0.00055075
14,1836.14,1.51814,2.63662,2.1257,0.20462,0.3954,0.26456,0.18338,1.10083,1.99785,1.82737,0.00163369,0.000544563,0.00163369,0.000544563,0.00163369,0.000544563,0.00163369,0.000544563
15,1959.63,1.4619,2.55915,2.04409,0.23273,0.40734,0.29495,0.20891,1.04666,1.9068,1.73924,0.00161512,0.000538375,0.00161512,0.000538375,0.00161512,0.000538375,0.00161512,0.000538375
16,2082.11,1.39579,2.48951,1.95962,0.29007,0.38747,0.33061,0.24112,1.00459,1.81818,1.66996,0.00159656,0.000532187,0.00159656,0.000532187,0.00159656,0.000532187,0.00159656,0.000532187
17,2201.36,1.36234,2.42312,1.9126,0.37724,0.42223,0.35437,0.26329,0.95177,1.76554,1.58711,0.001578,0.000526,0.001578,0.000526,0.001578,0.000526,0.001578,0.000526
18,2357.6,1.33033,2.36822,1.86893,0.31906,0.40489,0.36644,0.27368,0.93287,1.73992,1.55272,0.00155944,0.000519812,0.00155944,0.000519812,0.00155944,0.000519812,0.00155944,0.000519812
19,2507.75,1.28633,2.29781,1.82621,0.53995,0.36363,0.3931,0.29878,0.88123,1.68359,1.50638,0.00154088,0.000513625,0.00154088,0.000513625,0.00154088,0.000513625,0.00154088,0.000513625
20,2650.88,1.25641,2.24336,1.7837,0.38542,0.41629,0.42357,0.32878,0.87509,1.64356,1.48361,0.00152231,0.000507438,0.00152231,0.000507438,0.00152231,0.000507438,0.00152231,0.000507438
