epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,594.744,3.08301,5.04121,4.24639,0.00074,0.0118,0.00072,0.0002,2.59326,4.47117,4.33083,0.000622792,0.000207597,0.000622792,0.000207597,0.000622792,0.000207597,0.000622792,0.000207597
2,1072.14,3.07076,4.9922,4.22331,0.00083,0.17877,0.00074,0.0002,2.58079,4.21505,4.32486,0.00118603,0.000395342,0.00118603,0.000395342,0.00118603,0.000395342,0.00118603,0.000395342
3,1621.51,3.07637,4.95145,4.19225,0.00086,0.18211,0.00086,0.00023,2.57186,4.12706,4.2653,0.00168739,0.000562462,0.00168739,0.000562462,0.00168739,0.000562462,0.00168739,0.000562462
4,1988,3.06069,4.85841,4.13651,0.5888,0.01323,0.00356,0.00088,2.55805,3.9039,4.13752,0.00159656,0.000532187,0.00159656,0.000532187,0.00159656,0.000532187,0.00159656,0.000532187
5,2359.85,3.00947,4.63706,4.02366,0.3448,0.03143,0.00781,0.00197,2.4457,3.68136,3.91941,0.00150375,0.00050125,0.00150375,0.00050125,0.00150375,0.00050125,0.00150375,0.00050125
6,2726.28,2.89546,4.39548,3.8753,0.27287,0.03466,0.01253,0.00365,2.30329,3.51231,3.73389,0.00141094,0.000470312,0.00141094,0.000470312,0.00141094,0.000470312,0.00141094,0.000470312
7,3092.19,2.75383,4.13759,3.68666,0.29643,0.06879,0.0309,0.00976,2.18212,3.27646,3.45512,0.00131812,0.000439375,0.00131812,0.000439375,0.00131812,0.000439375,0.00131812,0.000439375
8,3456.62,2.62993,3.91199,3.47317,0.32626,0.09199,0.05351,0.02054,2.07682,3.08809,3.21031,0.00122531,0.000408438,0.00122531,0.000408438,0.00122531,0.000408438,0.00122531,0.000408438
9,3820.94,2.49461,3.71737,3.25708,0.34128,0.11848,0.08539,0.0344,1.9852,2.86806,3.02247,0.0011325,0.0003775,0.0011325,0.0003775,0.0011325,0.0003775,0.0011325,0.0003775
10,4187.42,2.3914,3.55168,3.09579,0.28173,0.18687,0.1092,0.0473,1.89734,2.75006,2.83284,0.00103969,0.000346563,0.00103969,0.000346563,0.00103969,0.000346563,0.00103969,0.000346563
11,4549.31,1.93432,3.78778,2.8368,0.30523,0.18705,0.14572,0.06933,1.81089,2.57479,2.71533,0.000946875,0.000315625,0.000946875,0.000315625,0.000946875,0.000315625,0.000946875,0.000315625
12,4912.23,1.87322,3.57614,2.72788,0.30479,0.22574,0.14823,0.0744,1.71623,2.46098,2.59912,0.000854062,0.000284688,0.000854062,0.000284688,0.000854062,0.000284688,0.000854062,0.000284688
13,5274.11,1.7941,3.43737,2.61636,0.35662,0.23551,0.17298,0.09376,1.654,2.36279,2.487,0.00076125,0.00025375,0.00076125,0.00025375,0.00076125,0.00025375,0.00076125,0.00025375
14,5635.16,1.7286,3.33122,2.52861,0.34027,0.27359,0.19188,0.11082,1.56318,2.28057,2.35695,0.000668437,0.000222813,0.000668437,0.000222813,0.000668437,0.000222813,0.000668437,0.000222813
15,5994.96,1.66596,3.23091,2.43554,0.34713,0.28277,0.19544,0.11388,1.52342,2.24125,2.30488,0.000575625,0.000191875,0.000575625,0.000191875,0.000575625,0.000191875,0.000575625,0.000191875
16,6355.52,1.62795,3.16942,2.38362,0.25587,0.28694,0.2094,0.12832,1.45342,2.20276,2.22473,0.000482813,0.000160938,0.000482813,0.000160938,0.000482813,0.000160938,0.000482813,0.000160938
17,6717.2,1.57599,3.11041,2.32616,0.2756,0.29212,0.21715,0.13366,1.41993,2.16286,2.18237,0.00039,0.00013,0.00039,0.00013,0.00039,0.00013,0.00039,0.00013
18,7077.05,1.55221,3.08499,2.29479,0.27255,0.32756,0.22293,0.14238,1.37653,2.13102,2.14203,0.000297188,9.90625e-05,0.000297188,9.90625e-05,0.000297188,9.90625e-05,0.000297188,9.90625e-05
19,7437,1.52773,3.03574,2.26688,0.31848,0.28922,0.23153,0.14786,1.36007,2.11588,2.11696,0.000204375,6.8125e-05,0.000204375,6.8125e-05,0.000204375,6.8125e-05,0.000204375,6.8125e-05
20,7799.66,1.51083,3.02446,2.23954,0.29665,0.30584,0.22939,0.1475,1.3536,2.11293,2.10858,0.000111563,3.71875e-05,0.000111563,3.71875e-05,0.000111563,3.71875e-05,0.000111563,3.71875e-05
