epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.29,3.01897,4.87732,3.95014,0.18899,0.03792,0.01614,0.00463,2.39711,3.82244,3.23863,0.000207597,0.000207597,0.000207597
2,200.857,2.18746,3.61931,2.59634,0.16364,0.19813,0.09554,0.05098,1.53567,2.55478,1.98694,0.000411813,0.000411813,0.000411813
3,304.472,1.61062,2.8753,1.94825,0.37259,0.30567,0.17309,0.11041,1.23969,2.39421,1.69381,0.000611903,0.000611903,0.000611903
4,405.818,1.39666,2.50925,1.73603,0.14973,0.34384,0.21522,0.15099,1.0447,2.17544,1.48864,0.000606437,0.000606437,0.000606437
5,510.255,1.28651,2.26788,1.64211,0.26683,0.44472,0.35649,0.26518,0.91765,1.77173,1.38909,0.00060025,0.00060025,0.00060025
6,619.65,1.19575,2.11929,1.56669,0.32609,0.46362,0.35107,0.25255,0.93357,1.75935,1.35939,0.000594062,0.000594062,0.000594062
7,729.798,1.13979,1.96906,1.51456,0.45973,0.51185,0.43899,0.33155,0.84195,1.57034,1.30742,0.000587875,0.000587875,0.000587875
8,837.735,1.09731,1.87577,1.48542,0.45561,0.43116,0.45815,0.3566,0.78543,1.55099,1.25514,0.000581687,0.000581687,0.000581687
9,945.729,1.05992,1.78395,1.44721,0.47826,0.52627,0.54432,0.42902,0.74709,1.34769,1.21761,0.0005755,0.0005755,0.0005755
10,1053.28,1.02491,1.69324,1.41802,0.62633,0.55397,0.56813,0.4534,0.72468,1.30865,1.19597,0.000569313,0.000569313,0.000569313
11,1160.36,0.99819,1.64132,1.39989,0.62456,0.55771,0.58695,0.48776,0.67161,1.17153,1.16309,0.000563125,0.000563125,0.000563125
12,1266.84,0.98328,1.57785,1.38296,0.68057,0.5588,0.61235,0.49447,0.74585,1.162,1.18505,0.000556938,0.000556938,0.000556938
13,1373.5,0.94585,1.53342,1.35502,0.60064,0.58679,0.64469,0.53554,0.63427,1.11899,1.12557,0.00055075,0.00055075,0.00055075
14,1480.88,0.9294,1.47373,1.33555,0.72533,0.58003,0.64296,0.54676,0.62886,1.08756,1.12014,0.000544563,0.000544563,0.000544563
15,1586.02,0.92366,1.4561,1.33622,0.69516,0.6109,0.65645,0.55905,0.63747,1.04761,1.11581,0.000538375,0.000538375,0.000538375
16,1691.24,0.90826,1.40947,1.3213,0.64122,0.5775,0.6568,0.55208,0.6185,1.08519,1.0969,0.000532187,0.000532187,0.000532187
17,1794.72,0.90179,1.37729,1.31841,0.64393,0.64401,0.69024,0.57931,0.61448,1.05143,1.09665,0.000526,0.000526,0.000526
18,1898.02,0.88205,1.35075,1.30493,0.66091,0.61374,0.68593,0.58133,0.59526,1.00905,1.08491,0.000519812,0.000519812,0.000519812
19,2001.48,0.87581,1.31536,1.29526,0.78982,0.63409,0.72759,0.6236,0.60397,0.9007,1.081,0.000513625,0.000513625,0.000513625
20,2104.45,0.8666,1.28503,1.2845,0.70795,0.61515,0.70021,0.59881,0.6039,0.96858,1.08003,0.000507438,0.000507438,0.000507438
21,2198.8,0.86158,1.27345,1.2835,0.77102,0.6577,0.72423,0.6181,0.56665,0.92579,1.05621,0.00050125,0.00050125,0.00050125
22,2294.88,0.8472,1.2378,1.27058,0.78243,0.62637,0.71337,0.61749,0.55239,0.88781,1.0496,0.000495063,0.000495063,0.000495063
23,2392.94,0.83319,1.21001,1.2627,0.8499,0.66325,0.77186,0.6772,0.53585,0.80205,1.03609,0.000488875,0.000488875,0.000488875
24,2495.9,0.82788,1.19631,1.26305,0.81156,0.62265,0.74483,0.64693,0.5437,0.8896,1.03559,0.000482687,0.000482687,0.000482687
25,2595.69,0.82722,1.19347,1.25439,0.7821,0.6756,0.75956,0.66305,0.5469,0.82999,1.04454,0.0004765,0.0004765,0.0004765
26,2691.44,0.81745,1.16229,1.24611,0.80221,0.67831,0.76366,0.67444,0.50102,0.79105,1.01417,0.000470312,0.000470312,0.000470312
27,2789.85,0.79571,1.13385,1.23561,0.72044,0.69691,0.7634,0.66697,0.53472,0.79696,1.03137,0.000464125,0.000464125,0.000464125
28,2897.33,0.81035,1.14361,1.24707,0.66797,0.71171,0.75955,0.65743,0.54891,0.85186,1.038,0.000457938,0.000457938,0.000457938
29,3015.76,0.79556,1.12324,1.23427,0.82854,0.69774,0.78458,0.6977,0.49466,0.75697,1.00548,0.00045175,0.00045175,0.00045175
30,3137.99,0.79335,1.09937,1.2365,0.72755,0.742,0.78644,0.69795,0.49381,0.7612,1.00682,0.000445562,0.000445562,0.000445562
31,3279.32,0.7907,1.08958,1.22992,0.75905,0.72416,0.79458,0.69472,0.51242,0.76915,1.01363,0.000439375,0.000439375,0.000439375
32,3424.53,0.78659,1.05974,1.2263,0.85633,0.68329,0.78874,0.70019,0.48505,0.74244,0.99705,0.000433187,0.000433187,0.000433187
33,3576.56,0.7642,1.03911,1.21208,0.7486,0.76012,0.80817,0.71579,0.49391,0.71837,0.99908,0.000427,0.000427,0.000427
