epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.939,3.01897,4.87732,3.95014,0.18891,0.03612,0.01579,0.00457,2.39841,3.82759,3.24199,0.000207597,0.000207597,0.000207597
2,224.674,2.19297,3.62269,2.6005,0.24047,0.2078,0.08797,0.04974,1.56118,2.60731,1.98253,0.000407695,0.000407695,0.000407695
3,347.275,1.60633,2.87653,1.94428,0.36193,0.32321,0.16995,0.10698,1.29824,2.41561,1.72103,0.000599543,0.000599543,0.000599543
4,465.07,1.40237,2.53012,1.74183,0.26294,0.38783,0.25484,0.18491,1.01905,1.95273,1.48274,0.000587875,0.000587875,0.000587875
5,579.07,1.28872,2.29608,1.64558,0.42436,0.42288,0.36487,0.2713,0.96859,1.75194,1.40676,0.0005755,0.0005755,0.0005755
6,681.27,1.20144,2.14559,1.57025,0.41798,0.4283,0.38657,0.29242,0.86431,1.71709,1.31311,0.000563125,0.000563125,0.000563125
7,797.68,1.14227,1.97624,1.51543,0.44813,0.46543,0.41791,0.31825,0.86174,1.54755,1.30917,0.00055075,0.00055075,0.00055075
8,923.348,1.11192,1.87614,1.49467,0.37382,0.51421,0.45873,0.36195,0.75604,1.49942,1.22857,0.000538375,0.000538375,0.000538375
9,1055.24,1.06823,1.798,1.45315,0.58464,0.52287,0.51943,0.41269,0.75409,1.37384,1.23059,0.000526,0.000526,0.000526
10,1186.77,1.03743,1.70794,1.42412,0.56586,0.5266,0.57312,0.46242,0.72832,1.31486,1.20818,0.000513625,0.000513625,0.000513625
11,1321.58,1.0004,1.65351,1.40204,0.62218,0.53143,0.58084,0.47916,0.69116,1.22525,1.16659,0.00050125,0.00050125,0.00050125
12,1450.97,0.99056,1.58468,1.38877,0.69868,0.58424,0.62403,0.50857,0.69745,1.14644,1.16005,0.000488875,0.000488875,0.000488875
13,1577.55,0.94922,1.54111,1.35793,0.69298,0.57245,0.61628,0.51247,0.65743,1.15639,1.14432,0.0004765,0.0004765,0.0004765
14,1705.36,0.93479,1.46968,1.33852,0.73724,0.59309,0.65948,0.54715,0.66506,1.02226,1.142,0.000464125,0.000464125,0.000464125
15,1833.58,0.91926,1.44656,1.33966,0.69138,0.61627,0.66808,0.55992,0.6385,1.04947,1.12137,0.00045175,0.00045175,0.00045175
16,1961.1,0.91852,1.42427,1.32982,0.70687,0.61464,0.68914,0.57943,0.61334,0.98862,1.09733,0.000439375,0.000439375,0.000439375
17,2087.23,0.90377,1.37879,1.32081,0.68473,0.69978,0.73128,0.61773,0.60443,0.94962,1.09614,0.000427,0.000427,0.000427
18,2215.44,0.88165,1.35406,1.30548,0.66347,0.6789,0.72474,0.61462,0.59619,0.95305,1.08815,0.000414625,0.000414625,0.000414625
19,2341.32,0.87735,1.31068,1.30035,0.78583,0.58087,0.68537,0.58206,0.60867,0.98907,1.09088,0.00040225,0.00040225,0.00040225
20,2473.39,0.86289,1.28474,1.28774,0.78128,0.62096,0.70838,0.60869,0.5948,0.94996,1.07509,0.000389875,0.000389875,0.000389875
21,2610.88,0.85939,1.26788,1.28633,0.71412,0.63619,0.72795,0.62649,0.57414,0.9278,1.0669,0.0003775,0.0003775,0.0003775
22,2749.95,0.84461,1.23737,1.27083,0.77137,0.65104,0.75204,0.64776,0.5601,0.86983,1.0556,0.000365125,0.000365125,0.000365125
23,2887.45,0.83195,1.20993,1.26857,0.81241,0.65748,0.75175,0.6581,0.53654,0.87009,1.04844,0.00035275,0.00035275,0.00035275
24,3031.06,0.8242,1.19283,1.26393,0.81826,0.65963,0.76883,0.66661,0.54958,0.8372,1.0458,0.000340375,0.000340375,0.000340375
25,3198.98,0.82305,1.19063,1.25914,0.75386,0.70181,0.77216,0.67097,0.54718,0.81052,1.04127,0.000328,0.000328,0.000328
26,3357.72,0.81524,1.15678,1.25027,0.79499,0.71808,0.78134,0.68934,0.51064,0.75062,1.01615,0.000315625,0.000315625,0.000315625
27,3510.22,0.79806,1.12836,1.24049,0.83054,0.70756,0.7924,0.69819,0.53404,0.75901,1.04016,0.00030325,0.00030325,0.00030325
28,3665.59,0.79916,1.13328,1.24505,0.85811,0.64508,0.77043,0.67448,0.5246,0.83566,1.03224,0.000290875,0.000290875,0.000290875
29,3822.68,0.79026,1.11563,1.23568,0.86839,0.6906,0.78937,0.7004,0.51714,0.74894,1.02035,0.0002785,0.0002785,0.0002785
30,3971.08,0.7864,1.08703,1.23581,0.73861,0.76419,0.79422,0.69926,0.50739,0.73547,1.02298,0.000266125,0.000266125,0.000266125
31,4124.21,0.78533,1.09085,1.23026,0.8805,0.66337,0.77951,0.68881,0.49776,0.76416,1.01265,0.00025375,0.00025375,0.00025375
