epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.795,3.04958,4.90088,4.00947,0.34081,0.0144,0.00723,0.00202,2.45281,3.82977,3.41719,0.000207597,0.000207597,0.000207597
2,197.874,2.2364,3.67824,2.64788,0.27788,0.21791,0.11252,0.06524,1.5167,2.48167,2.03845,0.000407695,0.000407695,0.000407695
3,291.633,1.6442,2.89393,2.00963,0.24252,0.33305,0.18838,0.1223,1.24565,2.24698,1.71813,0.000599543,0.000599543,0.000599543
4,388.988,1.42008,2.54359,1.78404,0.27354,0.32239,0.23386,0.17288,1.0123,2.0947,1.49152,0.000587875,0.000587875,0.000587875
5,483.403,1.30285,2.31521,1.67795,0.35175,0.4312,0.33234,0.24517,0.96206,1.80261,1.42711,0.0005755,0.0005755,0.0005755
6,580.032,1.22629,2.15543,1.60399,0.56903,0.30395,0.37483,0.28208,0.89114,1.70208,1.36709,0.000563125,0.000563125,0.000563125
7,674.427,1.1582,1.98532,1.53703,0.61642,0.36398,0.46268,0.35269,0.87151,1.5257,1.3289,0.00055075,0.00055075,0.00055075
8,765.129,1.12155,1.8915,1.50899,0.51147,0.48068,0.46119,0.35679,0.7944,1.48075,1.26351,0.000538375,0.000538375,0.000538375
9,856.4,1.07876,1.80187,1.46831,0.55332,0.50134,0.49907,0.38617,0.79339,1.43735,1.26135,0.000526,0.000526,0.000526
10,952.443,1.03699,1.71523,1.43746,0.57228,0.56017,0.55696,0.4489,0.72256,1.28604,1.2059,0.000513625,0.000513625,0.000513625
11,1044.61,1.01014,1.66413,1.41746,0.6248,0.50058,0.53987,0.43698,0.70671,1.30792,1.17789,0.00050125,0.00050125,0.00050125
12,1133.89,0.99658,1.59913,1.40303,0.68026,0.5146,0.57614,0.46724,0.70284,1.23626,1.16522,0.000488875,0.000488875,0.000488875
13,1223.74,0.95978,1.54974,1.37086,0.66192,0.59722,0.62412,0.51784,0.64799,1.13934,1.13932,0.0004765,0.0004765,0.0004765
14,1317.2,0.94342,1.48733,1.35349,0.68718,0.57513,0.64675,0.53755,0.64993,1.07496,1.1273,0.000464125,0.000464125,0.000464125
15,1406.61,0.92615,1.46441,1.3524,0.61899,0.61786,0.64493,0.54708,0.62454,1.08073,1.11832,0.00045175,0.00045175,0.00045175
16,1496.45,0.92658,1.42357,1.34205,0.71431,0.58826,0.65414,0.54879,0.63142,1.08001,1.11789,0.000439375,0.000439375,0.000439375
17,1585.94,0.91093,1.39874,1.33364,0.66427,0.64272,0.69133,0.58121,0.60804,0.98767,1.10051,0.000427,0.000427,0.000427
18,1676.83,0.89334,1.36907,1.31938,0.69734,0.68822,0.71222,0.59926,0.62711,0.94719,1.10725,0.000414625,0.000414625,0.000414625
19,1767.02,0.88905,1.31869,1.31546,0.74062,0.63337,0.70273,0.6002,0.59677,0.95287,1.09028,0.00040225,0.00040225,0.00040225
20,1856.05,0.87462,1.30264,1.30168,0.80364,0.61476,0.70405,0.59871,0.58762,0.92742,1.08336,0.000389875,0.000389875,0.000389875
21,1945.74,0.86426,1.28601,1.29449,0.80038,0.65475,0.73007,0.63291,0.55673,0.86486,1.05959,0.0003775,0.0003775,0.0003775
22,2034.39,0.85005,1.25146,1.27659,0.78971,0.62606,0.71134,0.61194,0.54881,0.90405,1.04454,0.000365125,0.000365125,0.000365125
23,2123.27,0.84145,1.2303,1.27507,0.82243,0.64801,0.7473,0.65147,0.53647,0.83932,1.04899,0.00035275,0.00035275,0.00035275
24,2212.36,0.83354,1.20188,1.27169,0.80091,0.66243,0.76853,0.6669,0.52313,0.83706,1.03367,0.000340375,0.000340375,0.000340375
25,2303.14,0.82784,1.19189,1.26544,0.82812,0.67277,0.77134,0.67166,0.54025,0.80469,1.0374,0.000328,0.000328,0.000328
26,2391.64,0.82884,1.16886,1.25718,0.83991,0.68109,0.783,0.68786,0.51431,0.76783,1.02251,0.000315625,0.000315625,0.000315625
27,2480.48,0.8001,1.1348,1.24264,0.81748,0.66989,0.74407,0.6509,0.52557,0.82192,1.03535,0.00030325,0.00030325,0.00030325
28,2569.8,0.80411,1.14981,1.24958,0.83661,0.64203,0.76206,0.66423,0.52098,0.81202,1.02661,0.000290875,0.000290875,0.000290875
29,2660.41,0.79926,1.12473,1.24243,0.84393,0.67718,0.79003,0.69844,0.51033,0.73098,1.016,0.0002785,0.0002785,0.0002785
30,2750.54,0.79918,1.1027,1.24314,0.86671,0.67505,0.78703,0.69231,0.49903,0.7482,1.01479,0.000266125,0.000266125,0.000266125
31,2840.29,0.79104,1.09472,1.23702,0.85475,0.7051,0.81488,0.71938,0.48591,0.70182,1.00586,0.00025375,0.00025375,0.00025375
32,2930.47,0.78604,1.06444,1.23241,0.73167,0.76591,0.81231,0.72179,0.4933,0.68704,1.00899,0.000241375,0.000241375,0.000241375
33,3019.48,0.76519,1.05037,1.21907,0.84962,0.70171,0.79043,0.69965,0.48968,0.72439,1.00295,0.000229,0.000229,0.000229
34,3108.63,0.76588,1.04224,1.21675,0.82436,0.75564,0.80797,0.71398,0.47853,0.69334,0.99814,0.000216625,0.000216625,0.000216625
