epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.3789,3.01409,4.91331,3.99419,0.00253,0.41784,0.00394,0.00111,2.35144,4.46719,3.44734,0.000207597,0.000207597,0.000207597
2,185.786,2.29577,3.79113,2.85193,0.27224,0.20938,0.08971,0.04826,1.66116,2.77368,2.30405,0.000407695,0.000407695,0.000407695
3,276.848,1.6929,2.9915,2.17629,0.19536,0.30809,0.15958,0.10177,1.30979,2.30789,1.85095,0.000599543,0.000599543,0.000599543
4,387.941,1.45325,2.62982,1.90388,0.32508,0.3781,0.26902,0.18342,1.12361,2.04472,1.61993,0.000587875,0.000587875,0.000587875
5,492.357,1.32596,2.38009,1.76721,0.33341,0.43738,0.3217,0.22757,1.02683,1.89949,1.51163,0.0005755,0.0005755,0.0005755
6,597.361,1.23441,2.20866,1.66772,0.50822,0.38208,0.34859,0.25654,0.94871,1.81297,1.43718,0.000563125,0.000563125,0.000563125
7,702.162,1.17113,2.03938,1.60115,0.5414,0.41208,0.43859,0.32939,0.91332,1.62046,1.37749,0.00055075,0.00055075,0.00055075
8,806.781,1.13158,1.94563,1.56071,0.46911,0.45803,0.49144,0.38062,0.82713,1.52505,1.30943,0.000538375,0.000538375,0.000538375
9,912.746,1.1022,1.86035,1.52471,0.60146,0.47089,0.49389,0.38128,0.80115,1.43722,1.27932,0.000526,0.000526,0.000526
10,1020.08,1.05736,1.77621,1.49168,0.59181,0.54518,0.56894,0.45152,0.75225,1.3092,1.2435,0.000513625,0.000513625,0.000513625
11,1132.74,1.03366,1.72666,1.4711,0.63926,0.46253,0.50564,0.40638,0.75233,1.40125,1.21622,0.00050125,0.00050125,0.00050125
12,1242.21,1.01447,1.6626,1.45007,0.65882,0.57942,0.61701,0.50023,0.72532,1.19292,1.18865,0.000488875,0.000488875,0.000488875
13,1351.78,0.97775,1.61112,1.41663,0.66521,0.57327,0.6253,0.51279,0.69901,1.13858,1.17727,0.0004765,0.0004765,0.0004765
14,1459.36,0.95848,1.56316,1.39905,0.68751,0.56502,0.64167,0.53645,0.65802,1.10922,1.14295,0.000464125,0.000464125,0.000464125
15,1564.36,0.94543,1.53041,1.39399,0.67077,0.56708,0.63805,0.52769,0.65291,1.13923,1.14483,0.00045175,0.00045175,0.00045175
16,1670.62,0.94588,1.49979,1.38897,0.71582,0.5618,0.65137,0.53682,0.66981,1.09952,1.1428,0.000439375,0.000439375,0.000439375
17,1781.92,0.92423,1.46502,1.37577,0.69554,0.62643,0.679,0.5734,0.61781,1.02515,1.11402,0.000427,0.000427,0.000427
18,1888.7,0.91509,1.43585,1.36585,0.78166,0.58034,0.68283,0.57176,0.65228,1.01482,1.13133,0.000414625,0.000414625,0.000414625
19,1999.7,0.90251,1.38582,1.35763,0.65438,0.65577,0.70168,0.59836,0.62138,0.95108,1.10688,0.00040225,0.00040225,0.00040225
20,2107.28,0.89477,1.36252,1.34568,0.67751,0.66953,0.69716,0.59309,0.60489,0.97571,1.09034,0.000389875,0.000389875,0.000389875
21,2214.09,0.88452,1.35677,1.34183,0.64625,0.65682,0.69259,0.59134,0.60017,0.99337,1.0903,0.0003775,0.0003775,0.0003775
22,2327.78,0.87495,1.3222,1.32637,0.75946,0.65399,0.72863,0.62574,0.5989,0.92109,1.08229,0.000365125,0.000365125,0.000365125
