epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.183,3.03729,4.88267,3.99525,0.42721,0.02644,0.01115,0.00299,2.4274,3.68764,3.15465,0.000207597,0.000207597,0.000207597
2,202.802,2.28381,3.74544,2.75174,0.4484,0.15204,0.09064,0.0465,1.77405,2.82517,2.27312,0.000407695,0.000407695,0.000407695
3,305.747,1.72042,2.9783,2.13709,0.43191,0.26356,0.18956,0.1182,1.3531,2.34574,1.80193,0.000599543,0.000599543,0.000599543
4,415.526,1.46291,2.58444,1.8568,0.36974,0.26009,0.21622,0.14454,1.18759,2.26724,1.63175,0.000587875,0.000587875,0.000587875
5,517.814,1.33724,2.31712,1.733,0.43988,0.45882,0.41434,0.295,1.04444,1.7713,1.51847,0.0005755,0.0005755,0.0005755
6,623.493,1.24897,2.14204,1.64159,0.38146,0.41318,0.3531,0.25717,0.96421,1.80974,1.4204,0.000563125,0.000563125,0.000563125
7,739.392,1.18214,1.98819,1.57421,0.38309,0.5201,0.47023,0.34996,0.92485,1.56331,1.39698,0.00055075,0.00055075,0.00055075
8,848.259,1.14231,1.90306,1.54204,0.45639,0.4877,0.48381,0.36978,0.84766,1.53579,1.32215,0.000538375,0.000538375,0.000538375
9,957.085,1.10299,1.81706,1.50047,0.57767,0.44929,0.45069,0.34367,0.84504,1.57627,1.31365,0.000526,0.000526,0.000526
10,1066.46,1.06219,1.72033,1.46461,0.6191,0.52245,0.57512,0.45899,0.77331,1.28894,1.24598,0.000513625,0.000513625,0.000513625
11,1175.02,1.03515,1.67962,1.44473,0.54515,0.58181,0.58844,0.47563,0.76911,1.26399,1.2289,0.00050125,0.00050125,0.00050125
12,1282.5,1.01897,1.6157,1.4311,0.72721,0.53629,0.60525,0.49024,0.72437,1.18938,1.1944,0.000488875,0.000488875,0.000488875
13,1393.52,0.98042,1.56931,1.40301,0.704,0.57533,0.62365,0.51998,0.6892,1.16815,1.17509,0.0004765,0.0004765,0.0004765
14,1503.32,0.96136,1.51386,1.38011,0.70455,0.56552,0.61188,0.50079,0.68659,1.17985,1.15159,0.000464125,0.000464125,0.000464125
