epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,561.702,3.67291,4.9689,4.25028,0.00089,0.16839,0.00074,0.0002,3.43238,4.29932,4.39014,0.000622792,0.000207597,0.000622792,0.000207597,0.000622792,0.000207597,0.000622792,0.000207597
2,1019.55,3.67242,4.95622,4.22338,0.0008,0.16288,0.00069,0.00019,3.42711,4.2448,4.37478,0.00123544,0.000411813,0.00123544,0.000411813,0.00123544,0.000411813,0.00123544,0.000411813
3,1608.83,3.66977,4.91236,4.1836,0.00089,0.19082,0.00084,0.00026,3.37649,4.13782,4.22792,0.00183571,0.000611903,0.00183571,0.000611903,0.00183571,0.000611903,0.00183571,0.000611903
4,1986.35,3.50255,4.85668,4.11298,0.00109,0.23956,0.0015,0.00042,2.84648,4.0219,4.04191,0.00181931,0.000606437,0.00181931,0.000606437,0.00181931,0.000606437,0.00181931,0.000606437
5,2364.66,3.17798,4.52265,3.96107,0.50946,0.02036,0.00801,0.00211,2.67715,3.60277,3.81617,0.00180075,0.00060025,0.00180075,0.00060025,0.00180075,0.00060025,0.00180075,0.00060025
6,2741.9,2.94374,4.06411,3.73,0.36543,0.05708,0.02419,0.00722,2.42118,3.24616,3.49096,0.00178219,0.000594062,0.00178219,0.000594062,0.00178219,0.000594062,0.00178219,0.000594062
7,3119.45,2.70016,3.736,3.46255,0.23205,0.11624,0.05041,0.01885,2.16844,2.97862,3.18086,0.00176363,0.000587875,0.00176363,0.000587875,0.00176363,0.000587875,0.00176363,0.000587875
8,3496.75,2.44315,3.47099,3.18096,0.16968,0.17378,0.0762,0.0335,1.97721,2.8045,2.94948,0.00174506,0.000581687,0.00174506,0.000581687,0.00174506,0.000581687,0.00174506,0.000581687
9,3871.25,2.16692,3.25424,2.92266,0.27029,0.26351,0.10645,0.05497,1.78983,2.59759,2.76705,0.0017265,0.0005755,0.0017265,0.0005755,0.0017265,0.0005755,0.0017265,0.0005755
10,4248.07,1.9769,3.0629,2.70458,0.25352,0.2675,0.12584,0.07211,1.65479,2.5127,2.59099,0.00170794,0.000569313,0.00170794,0.000569313,0.00170794,0.000569313,0.00170794,0.000569313
11,4624.18,1.84954,2.96143,2.55132,0.18254,0.30067,0.14961,0.09319,1.47858,2.39591,2.42076,0.00168937,0.000563125,0.00168937,0.000563125,0.00168937,0.000563125,0.00168937,0.000563125
12,5001.43,1.727,2.84478,2.42174,0.35894,0.28717,0.19448,0.1248,1.36988,2.30504,2.27307,0.00167081,0.000556938,0.00167081,0.000556938,0.00167081,0.000556938,0.00167081,0.000556938
13,5376.89,1.62096,2.72838,2.29796,0.27302,0.25718,0.22082,0.14587,1.2742,2.18072,2.15279,0.00165225,0.00055075,0.00165225,0.00055075,0.00165225,0.00055075,0.00165225,0.00055075
14,5751.76,1.54039,2.63813,2.19409,0.26205,0.29538,0.25093,0.1688,1.22227,2.08637,2.07705,0.00163369,0.000544563,0.00163369,0.000544563,0.00163369,0.000544563,0.00163369,0.000544563
15,6127.29,1.49163,2.56214,2.13101,0.34703,0.35101,0.28575,0.20023,1.15545,1.99359,1.9737,0.00161512,0.000538375,0.00161512,0.000538375,0.00161512,0.000538375,0.00161512,0.000538375
16,6501.99,1.42817,2.49391,2.06429,0.34261,0.35713,0.32724,0.23173,1.06623,1.88927,1.87548,0.00159656,0.000532187,0.00159656,0.000532187,0.00159656,0.000532187,0.00159656,0.000532187
